League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.5, Old Odds: 1.781, New Odds: 1.591, Time: 2023-11-18 15:11:06
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.29, New Odds: 2.0, Time: 2023-11-18 15:11:06
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.71, New Odds: 2.37, Time: 2023-11-18 15:11:06
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: U 3.0, Old Odds: 2.64, New Odds: 2.37, Time: 2023-11-18 15:11:06
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -0.5, Old Odds: 1.854, New Odds: 1.458, Time: 2023-11-18 15:11:06
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -1.0, Old Odds: 2.5, New Odds: 1.806, Time: 2023-11-18 15:11:06
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: 2 0.0, Old Odds: 1.854, New Odds: 1.478, Time: 2023-11-18 15:11:06
League: Hungary - NB 1 Women, Match: MTK Hungaria FC-vs-Fehervar FC, Market: 1 0.0, Old Odds: 1.02, New Odds: 0, Time: 2023-11-18 15:11:06
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -1.0, Old Odds: 2.5, New Odds: 1.636, Time: 2023-11-18 15:11:37
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: O 3.0, Old Odds: 2.15, New Odds: 1.917, Time: 2023-11-18 15:11:37
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: 2 0.0, Old Odds: 1.854, New Odds: 1.4, Time: 2023-11-18 15:11:37
League: Switzerland - Promotion League, Match: FC Basel II-vs-SC Kriens, Market: 1 0.0, Old Odds: 2.68, New Odds: 2.41, Time: 2023-11-18 15:12:07
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -0.5, Old Odds: 1.854, New Odds: 1.555, Time: 2023-11-18 15:12:07
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 2.14, New Odds: 1.757, Time: 2023-11-18 15:12:07
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H2 -1.0, Old Odds: 2.5, New Odds: 2.0, Time: 2023-11-18 15:12:07
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: 2 0.0, Old Odds: 1.854, New Odds: 1.578, Time: 2023-11-18 15:12:07
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: X 0.0, Old Odds: 4.33, New Odds: 3.81, Time: 2023-11-18 15:12:07
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.5, Old Odds: 1.632, New Odds: 1.442, Time: 2023-11-18 15:12:07
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 0.5, Old Odds: 2.49, New Odds: 1.99, Time: 2023-11-18 15:12:38
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 0.5, Old Odds: 2.25, New Odds: 1.99, Time: 2023-11-18 15:12:38
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 1.943, New Odds: 1.543, Time: 2023-11-18 15:12:38
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 2.14, New Odds: 1.543, Time: 2023-11-18 15:12:38
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: H1 1.0, Old Odds: 1.757, New Odds: 1.543, Time: 2023-11-18 15:12:38
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: U 3.0, Old Odds: 1.826, New Odds: 1.636, Time: 2023-11-18 15:12:38
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: X 0.0, Old Odds: 4.03, New Odds: 3.55, Time: 2023-11-18 15:12:38
League: Northern Ireland - Championship, Match: Bangor FC-vs-FC Portadown, Market: X 0.0, Old Odds: 4.33, New Odds: 3.55, Time: 2023-11-18 15:12:38
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.5, Old Odds: 1.781, New Odds: 1.561, Time: 2023-11-18 15:13:09
League: Qatar - Stars Cup, Match: Qatar SC-vs-Muaither SC, Market: H2 1.0, Old Odds: 2.29, New Odds: 1.952, Time: 2023-11-18 15:13:09
