Sport: Soccer, League: Guatemala - Liga Nacional, Match: CSD Municipal-vs-Comunicaciones FC, Market: U 2.0, Old Odds: 2.67, New Odds: 2.38, Time: 2023-11-18 21:36:42
Sport: Soccer, League: Guatemala - Liga Nacional, Match: CSD Municipal-vs-Comunicaciones FC, Market: U 2.0, Old Odds: 2.66, New Odds: 2.38, Time: 2023-11-18 21:36:42
Sport: Soccer, League: Guatemala - Liga Nacional, Match: CSD Municipal-vs-Comunicaciones FC, Market: U 2.5, Old Odds: 1.869, New Odds: 1.657, Time: 2023-11-18 21:37:04
Sport: Soccer, League: Guatemala - Liga Nacional, Match: CSD Municipal-vs-Comunicaciones FC, Market: U 2.0, Old Odds: 2.67, New Odds: 2.25, Time: 2023-11-18 21:37:04
Sport: Soccer, League: Guatemala - Liga Nacional, Match: CSD Municipal-vs-Comunicaciones FC, Market: U 2.0, Old Odds: 2.66, New Odds: 2.25, Time: 2023-11-18 21:37:04
Sport: Soccer, League: Brazil - Serie A, Match: Fortaleza-vs-Cruzeiro, Market: H2 0.0, Old Odds: 3.19, New Odds: 2.85, Time: 2023-11-18 21:41:03
Sport: Soccer, League: Brazil - Serie A, Match: Fortaleza-vs-Cruzeiro, Market: H2 0.0, Old Odds: 3.17, New Odds: 2.85, Time: 2023-11-18 21:41:03
Sport: Soccer, League: Brazil - Serie A, Match: Fortaleza-vs-Cruzeiro, Market: H2 0.0, Old Odds: 3.19, New Odds: 2.84, Time: 2023-11-18 21:41:24
Sport: Soccer, League: Brazil - Serie A, Match: Fortaleza-vs-Cruzeiro, Market: H2 0.0, Old Odds: 3.17, New Odds: 2.84, Time: 2023-11-18 21:41:24
Sport: Soccer, League: Brazil - Serie A, Match: Fortaleza-vs-Cruzeiro, Market: H1 -1.0, Old Odds: 3.44, New Odds: 3.08, Time: 2023-11-18 21:43:54
Sport: Soccer, League: Brazil - Serie A, Match: Fortaleza-vs-Cruzeiro, Market: H1 -1.0, Old Odds: 3.45, New Odds: 3.08, Time: 2023-11-18 21:43:54
Sport: Soccer, League: Brazil - Serie A, Match: Fortaleza-vs-Cruzeiro, Market: H1 -1.0, Old Odds: 3.45, New Odds: 3.1, Time: 2023-11-18 21:44:15
Sport: Soccer, League: Mexico - Liga Premier, Match: Escorpiones Fc-vs-Irapuato, Market: U 3.0, Old Odds: 1.746, New Odds: 1.469, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga Premier, Match: Escorpiones Fc-vs-Irapuato, Market: U 2.5, Old Odds: 2.21, New Odds: 1.877, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga Premier, Match: Halcones de Zapopan-vs-Yalmakan, Market: O 2.5, Old Odds: 2.01, New Odds: 1.806, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga Premier, Match: Halcones de Zapopan-vs-Yalmakan, Market: O 2.0, Old Odds: 1.515, New Odds: 1.349, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga Premier Serie B, Match: Artesanos Metepec FC-vs-Santiago FC, Market: U 2.0, Old Odds: 2.37, New Odds: 2.11, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: CS Atletico Tulancingo-vs-Club Atletico Toltecas FC, Market: H1 -1.0, Old Odds: 2.4, New Odds: 1.925, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: CS Atletico Tulancingo-vs-Club Atletico Toltecas FC, Market: H1 -0.5, Old Odds: 1.826, New Odds: 1.546, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: CS Atletico Tulancingo-vs-Club Atletico Toltecas FC, Market: O 3.0, Old Odds: 2.06, New Odds: 1.694, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: CS Atletico Tulancingo-vs-Club Atletico Toltecas FC, Market: 1 0.0, Old Odds: 1.819, New Odds: 1.564, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: Cilesi FC-vs-Guerreros DD, Market: H2 0.0, Old Odds: 1.884, New Odds: 1.689, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: Cilesi FC-vs-Guerreros DD, Market: O 2.5, Old Odds: 1.97, New Odds: 1.757, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: Cilesi FC-vs-Guerreros DD, Market: O 2.5, Old Odds: 2.04, New Odds: 1.757, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: Cilesi FC-vs-Guerreros DD, Market: 2 0.0, Old Odds: 2.68, New Odds: 2.4, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: Tigres de Alica FC-vs-Moncaro FC, Market: O 2.5, Old Odds: 2.02, New Odds: 1.714, Time: 2023-11-18 22:36:35
Sport: Soccer, League: Mexico - Liga TDP, Match: Cilesi FC-vs-Guerreros DD, Market: H2 0.0, Old Odds: 1.884, New Odds: 1.675, Time: 2023-11-18 22:37:17
Sport: Soccer, League: Mexico - Liga TDP, Match: Cilesi FC-vs-Guerreros DD, Market: 2 0.0, Old Odds: 2.68, New Odds: 2.38, Time: 2023-11-18 22:37:17
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: H2 0.5, Old Odds: 1.826, New Odds: 1.636, Time: 2023-11-18 23:19:04
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: H2 0.0, Old Odds: 2.6, New Odds: 2.22, Time: 2023-11-18 23:19:04
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: H2 0.0, Old Odds: 2.56, New Odds: 2.22, Time: 2023-11-18 23:19:04
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: 2 0.0, Old Odds: 3.47, New Odds: 2.99, Time: 2023-11-18 23:19:04
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: 2 0.0, Old Odds: 3.44, New Odds: 2.99, Time: 2023-11-18 23:19:04
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: H2 0.5, Old Odds: 1.826, New Odds: 1.617, Time: 2023-11-18 23:19:26
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: H2 0.5, Old Odds: 1.8, New Odds: 1.617, Time: 2023-11-18 23:19:26
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: H2 0.0, Old Odds: 2.6, New Odds: 2.18, Time: 2023-11-18 23:19:26
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: H2 0.0, Old Odds: 2.56, New Odds: 2.18, Time: 2023-11-18 23:19:26
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: H2 0.0, Old Odds: 2.45, New Odds: 2.18, Time: 2023-11-18 23:19:26
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: 2 0.0, Old Odds: 3.47, New Odds: 2.93, Time: 2023-11-18 23:19:26
Sport: Soccer, League: Honduras - Liga de Ascenso, Match: Juticalpa FC-vs-Atletico Junior, Market: 2 0.0, Old Odds: 3.44, New Odds: 2.93, Time: 2023-11-18 23:19:26
